,code_num,自选股分类
484,HK3316,ROE+
485,HK3319,"ROE+,Select,HK,New_HK"
486,HK3321,ROE+
487,HK3323,"国企指数,HK"
488,HK3328,国企指数
489,HK3378,港A40
490,HK3380,"ROE+,HK,New_HK"
491,HK3390,ROE+
492,HK3600,HillHouse
493,HK3601,"ROE+,HK,New_HK"
494,HK3613,Hold
495,HK3616,ROE+
496,HK3662,"ROE+,HK"
497,HK3690,Select
498,HK3692,"ROE+,New_HK"
499,HK3709,Select
500,HK3768,"HK,New_HK"
501,HK3798,"ROE+,HK,New_HK"
502,HK3799,"Hold,ROE+"
503,HK3868,"Select,HK"
504,HK3888,港A40
505,HK3889,ROE+
506,HK3899,港A40
507,HK3908,New_HK
508,HK3913,Hold
509,HK3918,"Hold,HK,New_HK"
510,HK3968,国企指数
511,HK3988,国企指数
512,HK3990,ROE+
513,HK3998,HK
514,HK6030,国企指数
515,HK6049,"HK,HillHouse"
516,HK6055,HK
517,HK6068,Hold
518,HK6069,New_HK
519,HK6098,"ROE+,HK"
520,HK6110,"Select,HillHouse"
521,HK6136,港A40
522,HK6160,"Select,HillHouse"
523,HK6162,ROE+
524,HK6186,"ROE+,HK,New_HK"
525,HK6190,New_HK
526,HK6820,"ROE+,New_HK"
527,HK6836,"ROE+,HK,New_HK"
528,HK6837,国企指数
529,HK6862,ROE+
530,HK6878,HK
531,HK6885,ROE+
532,HK6966,New_HK
533,HK6989,Hold
534,HK6996,Hold
535,HK6998,HillHouse
536,HK8002,港A40
537,HK8076,"ROE+,HK,New_HK"
538,HK8083,HillHouse
539,HK8207,港A40
540,HK8223,"HK,New_HK"
541,HK8521,"ROE+,HK"
542,HK9698,HillHouse
543,HK9911,New_HK
544,HK9916,"Hold,ROE+,New_HK"
545,HK9922,ROE+
546,HK9936,"ROE+,HK"
547,HK9939,Hold
548,HK9983,HillHouse
549,HK9996,HillHouse
550,HSI,Hold
551,IFLX0,Hold
552,K12186,Good_Profit
553,K20173,New_HK
554,ZC9999,商品
