,最后收益,最大收益,模拟最大回撤,赢撤率,夏普率,平均收益,开仓次数,胜率,盈亏比,参数1,参数2,参数3,参数4
175,-976.0,751.0,1762.0,-0.5539160045402951,0.014889052080514492,5.3127984474940835,143.0,0.7132867132867133,0.860111795900817,55.0,225.0,0.0,0.0
100,-972.0,243.0,1248.0,-0.7788461538461539,-1.7471982878720926,-447.1752821790662,143.0,0.7342657342657343,0.8418226200162735,45.0,170.0,0.0,0.0
173,-967.0,793.0,1795.0,-0.5387186629526463,0.13672837928737736,48.305114654785115,143.0,0.7132867132867133,0.8614017486025513,55.0,215.0,0.0,0.0
246,-967.0,1005.0,1990.0,-0.48592964824120605,0.4056312700019735,156.9732294624124,143.0,0.6783216783216783,0.8692536506219578,65.0,260.0,0.0,0.0
177,-962.0,819.0,1816.0,-0.5297356828193832,0.140113442450595,52.70564450763979,143.0,0.7132867132867133,0.8621183889924036,55.0,235.0,0.0,0.0
201,-960.0,992.0,1980.0,-0.48484848484848486,0.4808724598382485,173.41466543775388,143.0,0.6853146853146853,0.8665925514174541,60.0,195.0,0.0,0.0
254,-949.0,1221.0,2188.0,-0.4337294332723949,0.44516647164722756,170.10523878115316,143.0,0.6853146853146853,0.8728563772775991,65.0,300.0,0.0,0.0
152,-947.0,721.0,1668.0,-0.5677458033573142,-0.009943832910531246,-3.644276060747815,143.0,0.7412587412587412,0.8590144409706715,50.0,270.0,0.0,0.0
197,-947.0,581.0,1621.0,-0.5842072794571253,-0.05852120220553356,-17.083136877110263,143.0,0.6783216783216783,0.8668822041045825,60.0,175.0,0.0,0.0
172,-944.0,779.0,1758.0,-0.5369738339021616,0.0946310517968935,32.87948163346595,143.0,0.7132867132867133,0.8646982943958722,55.0,210.0,0.0,0.0
276,-925.0,726.0,1669.0,-0.5542240862792092,0.09745618433814608,31.242115891417217,143.0,0.6643356643356644,0.876452517697342,70.0,250.0,0.0,0.0
153,-918.0,750.0,1668.0,-0.5503597122302158,0.036014479745207995,13.472161883015529,143.0,0.7412587412587412,0.8633318445734702,50.0,275.0,0.0,0.0
176,-915.0,786.0,1736.0,-0.527073732718894,0.10878737036032911,39.4410006067371,143.0,0.7132867132867133,0.8688548086570158,55.0,230.0,0.0,0.0
212,-915.0,1085.0,2028.0,-0.4511834319526627,0.5606171118012656,225.27091506143793,143.0,0.6853146853146853,0.872846025569761,60.0,250.0,0.0,0.0
106,-909.0,338.0,1247.0,-0.7289494787489976,-0.787316786337954,-217.6197657346382,143.0,0.7412587412587412,0.8535524407926536,45.0,200.0,0.0,0.0
68,-907.0,247.0,1196.0,-0.7583612040133779,-1.4298472240716467,-353.6526916432386,143.0,0.7552447552447552,0.8450632046463956,40.0,170.0,0.0,0.0
114,-903.0,452.0,1355.0,-0.666420664206642,-0.5407415480433515,-156.71600072252662,143.0,0.7412587412587412,0.8545190913484775,45.0,240.0,0.0,0.0
0,-901.0,238.0,1178.0,-0.764855687606112,-1.2754614954435621,-294.62678721127884,143.0,0.7972027972027972,0.817979797979798,30.0,150.0,0.0,0.0
237,-900.0,987.0,1905.0,-0.47244094488188976,0.533574106464263,186.09315035501066,143.0,0.6783216783216783,0.8783126014061654,65.0,215.0,0.0,0.0
239,-898.0,956.0,1872.0,-0.4797008547008547,0.4388909059119018,153.4844818882029,143.0,0.6783216783216783,0.8785830178474852,65.0,225.0,0.0,0.0
277,-897.0,745.0,1660.0,-0.5403614457831325,0.14419290932681986,46.66534512225058,143.0,0.6643356643356644,0.880192333377855,70.0,255.0,0.0,0.0
213,-896.0,1104.0,2028.0,-0.4418145956607495,0.5892029268078881,238.46932735550627,143.0,0.6853146853146853,0.8754863813229572,60.0,255.0,0.0,0.0
182,-895.0,950.0,1880.0,-0.47606382978723405,0.3782296293741903,150.42530417907545,143.0,0.7132867132867133,0.8717213702164254,55.0,260.0,0.0,0.0
174,-891.0,852.0,1778.0,-0.5011248593925759,0.2564996623748997,92.57288024121273,143.0,0.7132867132867133,0.8722946825283073,55.0,220.0,0.0,0.0
202,-890.0,1036.0,1954.0,-0.4554759467758444,0.588209663369552,211.95808419287755,143.0,0.6853146853146853,0.8763201778765981,60.0,200.0,0.0,0.0
273,-885.0,710.0,1613.0,-0.5486670799752015,0.04994856377514327,16.275106642150167,143.0,0.6643356643356644,0.8817951115266461,70.0,235.0,0.0,0.0
101,-884.0,258.0,1175.0,-0.7523404255319149,-1.386032093983125,-370.1787280752539,143.0,0.7342657342657343,0.8561432058584215,45.0,175.0,0.0,0.0
255,-884.0,1279.0,2181.0,-0.4053186611646034,0.580886479795474,224.45934629867213,143.0,0.6853146853146853,0.8815648445873527,65.0,305.0,0.0,0.0
247,-882.0,1041.0,1941.0,-0.45440494590417313,0.5225928467887792,202.733336729826,143.0,0.6783216783216783,0.8807463493780422,65.0,265.0,0.0,0.0
198,-879.0,632.0,1604.0,-0.5480049875311721,0.10765469690339387,31.687618394786693,143.0,0.6783216783216783,0.8764408209165027,60.0,180.0,0.0,0.0
190,-876.0,1109.0,2020.0,-0.43366336633663366,0.4201380619670284,164.07084466140827,143.0,0.7202797202797203,0.8756388415672913,55.0,300.0,0.0,0.0
260,-875.0,216.0,1174.0,-0.7453151618398637,-1.2967932230788755,-278.35933194077137,143.0,0.6503496503496503,0.8804644808743168,70.0,170.0,0.0,0.0
1,-869.0,148.0,1074.0,-0.8091247672253259,-1.5646128275899989,-342.3436308815288,143.0,0.7972027972027972,0.8244444444444444,30.0,155.0,0.0,0.0
235,-865.0,1018.0,1901.0,-0.4550236717517096,0.5187213851606757,184.49130883844583,143.0,0.6783216783216783,0.8830448891292592,65.0,205.0,0.0,0.0
209,-864.0,1069.0,1961.0,-0.44059153493115755,0.5414465569013743,213.023181062392,143.0,0.6853146853146853,0.8799332962757087,60.0,235.0,0.0,0.0
231,-861.0,604.0,1556.0,-0.5533419023136247,-0.01720105096605701,-4.865165416911754,143.0,0.6713286713286714,0.8822805578342903,65.0,185.0,0.0,0.0
272,-838.0,677.0,1533.0,-0.5466405740378343,0.00945417917673953,3.01046274124747,143.0,0.6643356643356644,0.8880726592760785,70.0,230.0,0.0,0.0
154,-833.0,825.0,1658.0,-0.5024125452352232,0.18124676323396743,70.68416323543715,143.0,0.7412587412587412,0.8759863034092601,50.0,280.0,0.0,0.0
33,-832.0,103.0,1015.0,-0.819704433497537,-1.7748003165719548,-426.7982066518765,143.0,0.7762237762237763,0.8432849877566396,35.0,155.0,0.0,0.0
102,-831.0,259.0,1127.0,-0.7373558118899733,-1.243567115395091,-334.75840284564333,143.0,0.7342657342657343,0.8647681041497153,45.0,180.0,0.0,0.0
155,-823.0,835.0,1658.0,-0.49638118214716526,0.19667011399596984,77.20844892987323,143.0,0.7412587412587412,0.8774750632722942,50.0,285.0,0.0,0.0
