,最后收益,最大收益,最大回撤,赢撤率,夏普率,平均收益,开仓次数,胜率,盈亏比,参数1,参数2,参数3,参数4
332,-1535.0,706.0,2296.0,-0.6685540069686411,-1.1531591142960993,-678.2290224122199,184.0,0.75,0.8134721371708512,45.0,230.0,40.0,0.0
335,-1534.0,457.0,2386.0,-0.6429170159262364,-1.69040539205361,-973.8735022625273,192.0,0.75,0.8177547578896651,45.0,230.0,55.0,0.0
71,-1527.0,496.0,2374.0,-0.6432181971356361,-1.4796222677685222,-901.8478340411933,192.0,0.7864583333333334,0.7852253280091271,35.0,210.0,55.0,0.0
831,-1521.0,458.0,1986.0,-0.7658610271903323,-1.5062999624463422,-528.2051373495315,194.0,0.7010309278350515,0.8538581449727202,65.0,240.0,60.0,0.0
900,-1521.0,428.0,2007.0,-0.757847533632287,-1.6176307463838548,-686.6288158437119,199.0,0.6633165829145728,0.860107537024809,70.0,190.0,75.0,0.0
964,-1521.0,660.0,2188.0,-0.6951553930530164,-1.4211689602919675,-643.4932679971655,194.0,0.7010309278350515,0.8607713138481651,70.0,250.0,65.0,0.0
35,-1513.0,529.0,2049.0,-0.7384089799902391,-1.0778129084239414,-506.30336854878675,184.0,0.7717391304347826,0.7828414351851852,35.0,180.0,40.0,0.0
789,-1513.0,490.0,2010.0,-0.7527363184079602,-1.6261846429541245,-657.9147325956769,194.0,0.6701030927835051,0.8556791569086651,65.0,200.0,70.0,0.0
889,-1511.0,383.0,1992.0,-0.7585341365461847,-1.7778142170340585,-752.4025862747732,199.0,0.6633165829145728,0.8610508442599755,70.0,180.0,75.0,0.0
709,-1508.0,544.0,2059.0,-0.7323943661971831,-1.3008789108754268,-609.8968685881551,192.0,0.7135416666666666,0.845297544735747,60.0,240.0,55.0,0.0
656,-1506.0,476.0,1989.0,-0.7571644042232277,-1.7246879403238105,-707.1389196374398,194.0,0.7010309278350515,0.8473629782833505,60.0,190.0,65.0,0.0
131,-1505.0,341.0,1869.0,-0.8052434456928839,-2.0030981460944486,-604.7548689494186,199.0,0.7688442211055276,0.8082802547770701,40.0,150.0,80.0,0.0
625,-1499.0,296.0,1916.0,-0.7823590814196242,-1.8191843368158411,-637.3787104752465,199.0,0.678391959798995,0.8490078544853246,60.0,160.0,75.0,0.0
467,-1492.0,627.0,2207.0,-0.6760308110557318,-0.9941752326865342,-582.0730215044301,192.0,0.734375,0.8331821274665456,50.0,240.0,55.0,0.0
140,-1492.0,328.0,1917.0,-0.7782994261867501,-2.3814412021166658,-882.7798239072943,195.0,0.7692307692307693,0.8041994750656168,40.0,160.0,70.0,0.0
687,-1490.0,486.0,2015.0,-0.739454094292804,-1.5128732583224398,-705.0180724286621,192.0,0.7083333333333334,0.8460167714884695,60.0,220.0,55.0,0.0
123,-1485.0,597.0,2089.0,-0.7108664432742939,-1.350390285811282,-603.7370234682204,184.0,0.75,0.799918500407498,40.0,150.0,40.0,0.0
452,-1484.0,910.0,2411.0,-0.6155122355868934,-0.3001591020677529,-184.70244408523962,178.0,0.7303370786516854,0.8185040332437056,50.0,230.0,35.0,0.0
252,-1482.0,300.0,1791.0,-0.8274706867671692,-2.517225714562938,-734.1874632368266,199.0,0.7437185929648241,0.8200364298724954,45.0,150.0,80.0,0.0
29,-1482.0,363.0,1958.0,-0.7568947906026557,-2.0009732301180283,-778.2189209342826,195.0,0.8051282051282052,0.7949072792693053,35.0,170.0,65.0,0.0
921,-1480.0,582.0,2069.0,-0.7153214113098115,-1.415705722544111,-572.3130717107671,194.0,0.6701030927835051,0.8635720350976507,70.0,210.0,70.0,0.0
