,最后收益,最大收益,模拟最大回撤,赢撤率,夏普率,平均收益,开仓次数,胜率,盈亏比,参数1,参数2,参数3,参数4,参数5,s_time,e_time
57,732.0,1058.0,478.0,1.5313807531380754,1.915220252121601,528.2252518811376,104.0,0.6442307692307693,1.2246777163904234,40.0,130.0,270.0,16.0,2.0,2015-01-01 09:15:00,2016-01-01 09:15:00
58,725.0,1011.0,600.0,1.2083333333333333,1.5146224859451918,447.99331717893125,118.0,0.6101694915254238,1.1645856980703746,60.0,130.0,260.0,16.0,2.0,2015-01-01 09:15:00,2016-01-01 09:15:00
59,717.0,1058.0,606.0,1.183168316831683,1.1064911701517757,397.2014411427114,75.0,0.6266666666666667,1.2659495548961424,60.0,170.0,260.0,16.0,1.0,2015-01-01 09:15:00,2016-01-01 09:15:00
60,716.0,1358.0,710.0,1.008450704225352,2.2510280595814045,585.7404922841474,103.0,0.6504854368932039,1.1880745994221171,50.0,170.0,270.0,16.0,2.0,2015-01-01 09:15:00,2016-01-01 09:15:00
61,700.0,874.0,608.0,1.1513157894736843,1.5456404332766596,389.54380818773114,118.0,0.6186440677966102,1.1566696508504923,60.0,150.0,260.0,16.0,2.0,2015-01-01 09:15:00,2016-01-01 09:15:00
62,691.0,791.0,561.0,1.231729055258467,1.0787540496593762,285.0730901670705,63.0,0.6190476190476191,1.3073843416370106,50.0,160.0,270.0,18.0,1.0,2015-01-01 09:15:00,2016-01-01 09:15:00
63,678.0,1000.0,611.0,1.1096563011456628,1.4503644781898721,440.757148322918,118.0,0.6016949152542372,1.1700953336678375,50.0,110.0,260.0,16.0,2.0,2015-01-01 09:15:00,2016-01-01 09:15:00
64,676.0,776.0,571.0,1.1838879159369526,0.9546531738387932,249.56226246652213,63.0,0.6031746031746031,1.3129629629629629,50.0,150.0,270.0,18.0,1.0,2015-01-01 09:15:00,2016-01-01 09:15:00
65,674.0,783.0,297.0,2.2693602693602695,1.5675631247932378,414.39511541895166,64.0,0.59375,1.3390342052313882,50.0,110.0,270.0,16.0,1.0,2015-01-01 09:15:00,2016-01-01 09:15:00
66,664.0,903.0,606.0,1.0957095709570956,0.9910150535768852,330.4050248692769,75.0,0.6266666666666667,1.2462908011869436,60.0,160.0,260.0,16.0,1.0,2015-01-01 09:15:00,2016-01-01 09:15:00
67,659.0,750.0,849.0,0.7762073027090695,0.5891582031261484,187.98478510394082,75.0,0.6266666666666667,1.25085649029311,50.0,170.0,260.0,18.0,1.0,2015-01-01 09:15:00,2016-01-01 09:15:00
68,638.0,1083.0,742.0,0.8598382749326146,2.4023263158106114,524.912511159291,103.0,0.6699029126213593,1.1841801385681292,40.0,170.0,270.0,18.0,2.0,2015-01-01 09:15:00,2016-01-01 09:15:00
69,634.0,734.0,641.0,0.9890795631825273,1.0802135943165048,265.78677464609103,63.0,0.6190476190476191,1.2502960915909989,60.0,170.0,270.0,18.0,1.0,2015-01-01 09:15:00,2016-01-01 09:15:00
70,631.0,905.0,404.0,1.561881188118812,1.1930755014425682,335.9871955107767,72.0,0.6527777777777778,1.2737527114967462,40.0,140.0,260.0,14.0,1.0,2015-01-01 09:15:00,2016-01-01 09:15:00
71,624.0,983.0,478.0,1.3054393305439331,1.9135270951301075,477.80211707690347,104.0,0.6346153846153846,1.194331983805668,40.0,120.0,270.0,16.0,2.0,2015-01-01 09:15:00,2016-01-01 09:15:00
72,622.0,999.0,658.0,0.9452887537993921,1.432789054676327,400.68049993623265,118.0,0.6016949152542372,1.1448195576251454,60.0,120.0,260.0,16.0,2.0,2015-01-01 09:15:00,2016-01-01 09:15:00
73,618.0,1052.0,478.0,1.292887029288703,1.9631448774441829,542.5074352761127,104.0,0.625,1.1954459203036052,40.0,110.0,270.0,16.0,2.0,2015-01-01 09:15:00,2016-01-01 09:15:00
74,615.0,756.0,338.0,1.819526627218935,1.3745065420174265,323.4754623134804,53.0,0.6415094339622641,1.3791615289765722,40.0,140.0,290.0,16.0,1.0,2015-01-01 09:15:00,2016-01-01 09:15:00
75,602.0,821.0,421.0,1.4299287410926367,1.0544287590709576,298.15911235811757,75.0,0.6,1.2365422396856582,60.0,120.0,260.0,16.0,1.0,2015-01-01 09:15:00,2016-01-01 09:15:00
76,596.0,687.0,851.0,0.700352526439483,0.30994436647879964,94.52610636398418,75.0,0.6133333333333333,1.234738085860575,50.0,140.0,260.0,18.0,1.0,2015-01-01 09:15:00,2016-01-01 09:15:00
77,595.0,686.0,848.0,0.7016509433962265,0.2927919777590744,87.07488840709094,75.0,0.6133333333333333,1.2343442300118157,50.0,150.0,260.0,18.0,1.0,2015-01-01 09:15:00,2016-01-01 09:15:00
78,593.0,1270.0,710.0,0.8352112676056338,2.4389295704444844,589.4611401606938,103.0,0.6407766990291263,1.1445988783223604,60.0,170.0,270.0,16.0,2.0,2015-01-01 09:15:00,2016-01-01 09:15:00
79,576.0,676.0,570.0,1.0105263157894737,0.870035691320452,200.23042979211834,63.0,0.6031746031746031,1.2666666666666666,50.0,140.0,270.0,18.0,1.0,2015-01-01 09:15:00,2016-01-01 09:15:00
80,573.0,659.0,465.0,1.232258064516129,0.9254854463554731,200.4913021298304,63.0,0.6349206349206349,1.2949047864127636,40.0,150.0,270.0,18.0,1.0,2015-01-01 09:15:00,2016-01-01 09:15:00
81,563.0,731.0,387.0,1.454780361757106,1.5011041316775895,354.67351103175616,53.0,0.6226415094339622,1.3096809680968096,50.0,140.0,290.0,16.0,1.0,2015-01-01 09:15:00,2016-01-01 09:15:00
82,558.0,920.0,631.0,0.884310618066561,2.559673956483685,441.5910215533733,102.0,0.6470588235294118,1.146919431279621,50.0,170.0,270.0,18.0,2.0,2015-01-01 09:15:00,2016-01-01 09:15:00
83,557.0,700.0,285.0,1.9543859649122808,1.18455654689005,253.0151128682566,53.0,0.660377358490566,1.3305637982195846,40.0,160.0,290.0,16.0,1.0,2015-01-01 09:15:00,2016-01-01 09:15:00
84,545.0,636.0,848.0,0.6426886792452831,0.3697029088395988,104.7963525060579,75.0,0.6266666666666667,1.2074609821088695,50.0,160.0,260.0,18.0,1.0,2015-01-01 09:15:00,2016-01-01 09:15:00
85,542.0,651.0,325.0,1.6676923076923076,1.5980580556255686,336.5533095268461,64.0,0.59375,1.246587807097361,60.0,120.0,270.0,16.0,1.0,2015-01-01 09:15:00,2016-01-01 09:15:00
86,541.0,1077.0,716.0,0.755586592178771,1.5209905240783708,436.490613442163,118.0,0.5932203389830508,1.1274140367404615,60.0,110.0,260.0,16.0,2.0,2015-01-01 09:15:00,2016-01-01 09:15:00
87,541.0,627.0,506.0,1.0691699604743083,1.064092728269832,221.05736513199847,63.0,0.6507936507936508,1.2663712456917773,40.0,160.0,270.0,18.0,1.0,2015-01-01 09:15:00,2016-01-01 09:15:00
88,538.0,1050.0,595.0,0.9042016806722689,2.0889607075938375,461.49384007141947,103.0,0.6310679611650486,1.1471553610503282,50.0,140.0,270.0,16.0,2.0,2015-01-01 09:15:00,2016-01-01 09:15:00
89,536.0,810.0,404.0,1.3267326732673268,1.2010643399638545,296.8661267695447,72.0,0.6527777777777778,1.232537960954447,40.0,130.0,260.0,14.0,1.0,2015-01-01 09:15:00,2016-01-01 09:15:00
